"Treat em like you don't need them and they ain't worthy of you. Feed em the same shit that you made me eat. All I ever felt was this helplessness. Imprisoned by a selfish bitch. Fuck you, I'm leaving you, my life sentence is served bitch. And it's just too late for the other side.",1
"NEARLY ALL MUSLIM IMMIGRANTS SUCK FROM THE GOVERNMENT TEATS.  MUZZIES DON'T ASSIMILATE TO OUR SOCIETY, CULTURE AND LIFESTYLE AND THEY NEVER WILL.  FUCK THE MUSLIMS, GET THE FUCK OUT OF AMERICA AND EUROPE.  DESTROY YOUR OWN PEOPLE AND YOUR OWN LAND.  ",1
"She was all drugged up! She really thought she was gettin it!? They are both just stupid. We should boycott this shit and start listening to real music again. Jesus Fucking Christ ... Imagine the heights of amazingness it would be to fuck that girl's ass, right up the pooper!!!  I need to call my GF, like, right now!!? That flat ass should not be wearing that ... I have more ass then her. She's such a bad rolemodel .. I wouldn't be suprised if she does what washed up Lindsey Lohan did and appear in Playboy once nobody cares about her anymore. Also have a sex tape out and not a fake one that somebody made up.. ?",2
You're a nerd,1
"I am a proud Southern Baptist but this is one issue I disagree with Trump on... Not that I would expect anything different from him. I mean he is running for office after all, and he needs the votes from all these braindead JUDEO-Christians, or evangelicals as Trump calls them. You would think that sooner or later these idiots would come out of their comas and realize that even though we have been funneling billions and billions of dollars to Israel for literally decades, Things keep getting worse and worse for US! Well why is that? Whatever happened to that old saying ""Bless Israel and we shall be blessed"" Well... actually that is not specifically stated in the Bible. They like to take scripture and twist it to fit their own agenda. However, our country continues to go down the tubes and maybe, just maybe, we should try a different approach and cut the cord to Israel. Let them stand on their own! Let them be the Jewish state and we'll be a Christian state!?",2
"WHITE EUROPEAN SOCIETY DOES NOT WANT MUSLIMS, WE DON'T NEED MUSLIMS AND MUSLIMS BRING NOTHING TO THE TABLE, THERE IS NO ADVANTAGE TO HAVING THEM AROUND.  THEIR AVERAGE IQ IS WELL BELOW 80, MAKING THEM NOTHING BUT A BURDEN ON OUR WELFARE SYSTEM.  THEY MULTIPLY LIKE COCKROACHES, PRODUCING MORE IGNORANT VIOLENT WORTHLESS SCUM TO DEFEND AGAINST.  ",2
"Seventeen shots, no 38. I’m like yeah, she’s fine, wonder when she’ll be mine. She walk past I press rewind to see that ass one more time and I got this sewed up. Tell me what you see, is it money or it's me? I smoke twenty, smell the weed I got hunnies in my V. They like, Monty, can you be my baby daddy, I'm like, yeah. I got robins on my jeans, you see the wings on every pair. All you see is Remy Boyz, you know my niggas everywhere. And if somebody got a problem, we could meet up anywhere. Now go say some, Don't you niggas play dumb, you know where we came from.",1
"Typical Muslim approach to the problem of global jihad & Islamic terrorism- ""but but , we're the victims! islamaphobia, racism!"" - FUCK OFF. It's way too late on the day for your false victimhood bullshit. Everytime a fucking Muslim blows up or guns down - often both! we hear perhaps a lone voice or a whisper condemning the act from the Muslim community  (btw we've seen the numerous polls from MENA region, across Europe, in my UK & the appalling amount of so called moderates that sympathise with violence/terrorism- among myriad other deal breakers that make Islam incompatible with the West!). No, what we hear instead is the self pity, the whining the bullshit victimhood narrative ""Muslims will suffer a backlash now"" ,""hate crimes against Muslims will go through the roof"" etc etc ad nauseum. The thing is it never quite happens, does it? oh we catch the likes of 'Tell Mama' or CAIR lying or outright inventing supposed anti Muslim hate crimes but the true figures are miniscule. Why? because you ppl came to the West- by a country mile the most tolerant societies on Earth and ever known. How about real hate crimes? like the constantly escalating anti semitic crimes committed by Muslims living in the west  (particularly Europe) on our long established Jewish communities? Yeah , don't want to talk about that. Jews are fleeing Europe in numbers not seen since the Nazis! But Islam liked the idea of the final solution huh? Fuck Islam, Fuck Muslims because without adherents to this disgusting, abhorrent, backwards, inferior death cult, it wouldn't exist to plague our societies. Fuck it's apologists, liars and outright disingenuous fucks like this bitch here. And Fuck the regressive left, Fuck Obama and Cameron and Merkel and the EU  (So glad we voted Leave) for cowing to this abhorrent ""religion"" and the obvious snakes like this woman and countless of her ilk. Fuck you western leaders for being the spineless bastards you are, for being a part of lie telling your own citizens ""Islam is a religion of peace"" each time someone kills in its name, AGAIN & again. Obama and co, you be dhimmi-wits all you want, pay your fucking Jizya- we want no part in it. Don't tell us ISIS has nothing to do with Islam- you have surely never read the Quran or Hadith to make such an idiotic statement. Besides when did western leaders suddenly become Islamic scholars and gain the power to apostasise? Muslims should not be allowed by law to walk in / work in the corridors of power such as the White House or Whitehall. I'm not a fan of Trump but he's right when he says ""until we figure out what's going on""......thing is, we already know. Just some are too pussy to admit it to themselves.?",2
You're a loser,1
"Rummage through the shit, and try to salvage something to see if you can save any of it,",1
