kiss my ass,3
you have no friends,2
u are a fatttt babiiie,2
go to play bskt,0
You are a loser,2
how i get to you home?,0
do you know him,0
fuck you,3
ugly cow ,3
you are so dumb ,2
You are worthless,2
fat boy,2
how are you looser ,1
how is it going?,0
mom is working,0
i love you,0
i'm fine. And you?,0
go kill yourself ,3
you are a nerd ,2
check the new app,0
he is my friend,0
gay,2
fuck u ,3
good,0
we are interns,0
everybody hates you,3
do you join?,0
i'm at home,0
i like you,0
where is my computer,0
