my dad is good,0
he is my friend,0
fat boy,2
we are interns,0
ugly cow ,3
go kill yourself ,3
You are worthless,2
You are not cool,1
lots of love,0
gay,2
i'm at home,0
u are a fatttt babiiie,2
good,0
mom is working,0
i'm fine. And you?,0
do you join?,0
near from here,0
where is my computer,0
You are a loser,2
You are stupid,3
you are so disgusting ,2
what are you doing?,0
hahaha,0
how are you looser ,1
you are a nerd ,2
go to play bskt,0
i love you,0
i like you,0
I hate you,2
see you,0
you have no friends,2
sure man,0
are you the most fat guy in the class?,2
go home ,1
fat pig ,3
